iter	Logloss
0	0.6288168541
1	0.5746276695
2	0.5324988533
3	0.4999431383
4	0.4715887623
5	0.4531698485
6	0.4346468209
7	0.4220211701
8	0.4073308697
9	0.3958074048
10	0.3858741238
11	0.3789045127
12	0.3717064892
13	0.3671640038
14	0.3617747088
15	0.3576321146
16	0.354464929
17	0.3516594313
18	0.3493678438
19	0.3473604595
20	0.3454257586
21	0.3428693971
22	0.3414032462
23	0.3399513373
24	0.3381403621
25	0.3368331526
26	0.3356410262
27	0.3347772946
28	0.3335366561
29	0.3327394626
30	0.3319321602
31	0.331012997
32	0.3304315011
33	0.3298303556
34	0.3292214748
35	0.3287175283
36	0.3283396579
37	0.3279369087
38	0.3272876421
39	0.3270674065
40	0.3266632735
41	0.3263843687
42	0.3261213728
43	0.3256393636
44	0.3253475224
45	0.3250663616
46	0.3248446657
47	0.3246313661
48	0.3242813308
49	0.3241214798
50	0.3239359883
51	0.3238044184
52	0.3235391678
53	0.323316379
54	0.3231837539
55	0.3229771765
56	0.3228771319
57	0.3227369299
58	0.3226183098
59	0.3224594563
60	0.3223486071
61	0.3222116588
62	0.3220712949
63	0.3219844567
64	0.3218945751
65	0.321824954
66	0.3217162696
67	0.3216465516
68	0.3215624677
69	0.3214724746
70	0.3214051372
71	0.3213160145
72	0.3212673732
73	0.3212168111
74	0.3211394431
75	0.3210840645
76	0.3210331852
77	0.3209766622
78	0.3209202064
79	0.3208611148
80	0.3208069643
81	0.3207313061
82	0.3206793387
83	0.32064403
84	0.3205995354
85	0.3205519755
86	0.3204972147
87	0.3204601208
88	0.3203936077
89	0.3203621762
90	0.3203366325
91	0.3202992556
92	0.3202609843
93	0.3202265643
94	0.3201922673
95	0.3201340607
96	0.3200955568
97	0.3200671454
98	0.3200235104
99	0.3199935022
100	0.3199659478
101	0.3199331349
102	0.3198711116
103	0.3198332077
104	0.3197953216
105	0.3197615416
106	0.3197294164
107	0.3196898943
108	0.3196591677
109	0.319614596
110	0.3195935583
111	0.3195550077
112	0.3195140384
113	0.3194711366
114	0.3194287836
115	0.3193832816
116	0.3193614336
117	0.3193216813
118	0.3192985119
119	0.3192573892
120	0.3192415086
121	0.3192212025
122	0.319197427
123	0.319168601
124	0.3191367981
125	0.3191057694
126	0.3190795285
127	0.3190622216
128	0.3190228602
129	0.3190092094
130	0.3189677811
131	0.318949508
132	0.318922118
133	0.3188902671
134	0.3188620989
135	0.3188389567
136	0.3188134321
137	0.3187976789
138	0.3187762395
139	0.3187574876
140	0.318733511
141	0.3187115205
142	0.3186935461
143	0.3186728067
144	0.3186436836
145	0.3186153191
146	0.3185915322
147	0.3185664167
148	0.3185366123
149	0.3185143463
150	0.3184938464
151	0.3184685168
152	0.3184469483
153	0.3184175113
154	0.3184035439
155	0.31838214
156	0.3183501918
157	0.3183157161
158	0.3182855108
159	0.3182636328
160	0.3182443255
161	0.3182246192
162	0.3182017979
163	0.3181807101
164	0.3181551499
165	0.318135831
166	0.3181160147
167	0.3180909882
168	0.3180753405
169	0.3180512036
170	0.3180189439
171	0.3179891177
172	0.3179695311
173	0.3179519849
174	0.317938065
175	0.3179148384
176	0.3178777277
177	0.3178550806
178	0.3178303412
179	0.3178060685
180	0.3177714614
181	0.3177546887
182	0.3177358228
183	0.3177160766
184	0.3176908512
185	0.3176693106
186	0.3176514026
187	0.3176299773
188	0.317603312
189	0.3175779383
190	0.3175375829
191	0.3175156571
192	0.3174852326
193	0.317462352
194	0.3174452251
195	0.3174298787
196	0.3174119893
197	0.3173827872
198	0.3173598014
199	0.3173408927
200	0.317323086
201	0.3173034522
202	0.3172884302
203	0.3172608698
204	0.3172411892
205	0.3172213202
206	0.3172025791
207	0.3171783589
208	0.3171509103
209	0.317130192
210	0.3171068746
211	0.3170791733
212	0.3170550817
213	0.3170357377
214	0.3170152923
215	0.3169947474
216	0.3169804941
217	0.3169575389
218	0.316939597
219	0.3169135118
220	0.3168979943
221	0.316870104
222	0.3168474891
223	0.3168311318
224	0.3168115969
225	0.3167884406
226	0.3167745417
227	0.3167609966
228	0.3167389818
229	0.3167213988
230	0.3166954872
231	0.3166728982
232	0.3166568311
233	0.3166359665
234	0.3166161297
235	0.3165943241
236	0.3165761472
237	0.316555733
238	0.3165433548
239	0.3165211531
240	0.3164917803
241	0.3164781598
242	0.3164578167
243	0.3164399744
244	0.3164209115
245	0.3164026035
246	0.3163850155
247	0.3163704493
248	0.316350952
249	0.3163398971
250	0.316318882
251	0.3162993503
252	0.3162850299
253	0.3162665943
254	0.3162464707
255	0.3162294624
256	0.3162162209
257	0.3161973538
258	0.3161812087
259	0.3161566457
260	0.3161327378
261	0.3161113642
262	0.3160883016
263	0.3160709264
264	0.3160503201
265	0.3160260006
266	0.3160157696
267	0.3159965296
268	0.3159868608
269	0.3159684056
270	0.3159499636
271	0.3159322789
272	0.3159081549
273	0.315893144
274	0.3158743812
275	0.3158598467
276	0.3158375398
277	0.3158179049
278	0.315793487
279	0.3157807399
280	0.3157625618
281	0.3157449061
282	0.315722366
283	0.3157046773
284	0.3156871213
285	0.3156646816
286	0.3156411834
287	0.3156215887
288	0.315595341
289	0.3155799365
290	0.315559629
291	0.315539966
292	0.3155342391
293	0.3155163522
294	0.3155009719
295	0.3154820709
296	0.315467505
297	0.3154502221
298	0.3154348279
299	0.3154135436
300	0.3153916393
301	0.3153775846
302	0.3153590841
303	0.3153407279
304	0.3153202776
305	0.3153046192
