iter	Passed	Remaining
0	22	14700
1	43	13865
2	64	13904
3	86	13786
4	106	13619
5	127	13621
6	147	13425
7	169	13472
8	190	13432
9	210	13356
10	232	13402
11	255	13487
12	277	13495
13	300	13558
14	325	13655
15	348	13695
16	371	13720
17	393	13708
18	414	13663
19	439	13728
20	461	13702
21	486	13768
22	511	13843
23	536	13882
24	563	13962
25	587	13990
26	608	13936
27	635	14003
28	658	13997
29	682	13986
30	707	14007
31	727	13932
32	751	13941
33	775	13939
34	799	13931
35	821	13889
36	842	13848
37	865	13830
38	892	13860
39	915	13847
40	939	13839
41	965	13856
42	990	13860
43	1012	13824
44	1036	13825
45	1062	13830
46	1085	13809
47	1109	13797
48	1136	13825
49	1161	13819
50	1186	13824
51	1208	13777
52	1232	13761
53	1259	13785
54	1281	13743
55	1305	13728
56	1328	13701
57	1352	13688
58	1373	13645
59	1399	13644
60	1424	13636
61	1450	13643
62	1474	13622
63	1497	13590
64	1521	13578
65	1543	13536
66	1566	13513
67	1588	13482
68	1613	13466
69	1635	13430
70	1654	13378
71	1679	13369
72	1703	13350
73	1729	13345
74	1751	13312
75	1774	13287
76	1795	13242
77	1817	13212
78	1843	13205
79	1867	13186
80	1886	13137
81	1906	13089
82	1930	13071
83	1954	13053
84	1978	13035
85	2003	13021
86	2025	12993
87	2048	12964
88	2071	12939
89	2097	12932
90	2120	12912
91	2142	12878
92	2164	12845
93	2188	12828
94	2213	12816
95	2237	12793
96	2260	12772
97	2284	12752
98	2309	12735
99	2334	12725
100	2356	12691
101	2377	12658
102	2403	12646
103	2427	12626
104	2451	12605
105	2473	12577
106	2499	12565
107	2519	12526
108	2543	12507
109	2564	12474
110	2588	12455
111	2614	12441
112	2637	12419
113	2660	12392
114	2682	12364
115	2705	12337
116	2726	12305
117	2746	12266
118	2768	12239
119	2789	12204
120	2809	12166
121	2834	12150
122	2857	12128
123	2881	12108
124	2908	12098
125	2934	12088
126	2959	12070
127	2983	12052
128	3006	12027
129	3029	12000
130	3053	11979
131	3077	11960
132	3102	11943
133	3125	11919
134	3149	11899
135	3174	11881
136	3198	11858
137	3220	11833
138	3244	11810
139	3269	11791
140	3292	11767
141	3313	11736
142	3336	11710
143	3356	11676
144	3375	11640
145	3396	11609
146	3419	11585
147	3442	11561
148	3468	11547
149	3491	11522
150	3512	11492
151	3536	11471
152	3560	11450
153	3585	11431
154	3608	11408
155	3629	11378
156	3652	11353
157	3674	11324
158	3697	11300
159	3719	11273
160	3741	11248
161	3766	11231
162	3787	11201
163	3812	11182
164	3837	11164
165	3861	11141
166	3883	11115
167	3907	11094
168	3931	11074
169	3953	11047
170	3977	11024
171	4000	11000
172	4023	10977
173	4046	10952
174	4070	10932
175	4090	10900
176	4115	10881
177	4140	10863
178	4166	10847
179	4190	10824
180	4212	10797
181	4235	10776
182	4258	10751
183	4281	10726
184	4303	10700
185	4327	10678
186	4347	10648
187	4368	10620
188	4390	10591
189	4410	10562
190	4434	10539
191	4458	10519
192	4479	10490
193	4502	10466
194	4526	10445
195	4549	10421
196	4573	10399
197	4598	10381
198	4621	10358
199	4644	10334
200	4668	10313
201	4692	10291
202	4716	10269
203	4740	10247
204	4762	10222
205	4785	10198
206	4809	10176
207	4828	10144
208	4850	10119
209	4871	10091
210	4897	10073
211	4919	10047
212	4944	10028
213	4967	10005
214	4992	9985
215	5017	9965
216	5042	9944
217	5065	9921
218	5091	9903
219	5114	9880
220	5138	9859
221	5163	9837
